7zip	23.01+dfsg-11
php8.3-gmp	8.3.6-0ubuntu0.24.04.5
php8.3-igbinary	3.2.13-1ubuntu3
php8.3-imagick	3.7.0-4ubuntu3
php8.3-intl	8.3.6-0ubuntu0.24.04.5
php8.3-mbstring	8.3.6-0ubuntu0.24.04.5
php8.3-mysql	8.3.6-0ubuntu0.24.04.5
php8.3-opcache	8.3.6-0ubuntu0.24.04.5
php8.3-pspell	8.3.6-0ubuntu0.24.04.5
php8.3-readline	8.3.6-0ubuntu0.24.04.5
php8.3-redis	5.3.7+4.3.0-3ubuntu1
php8.3-soap	8.3.6-0ubuntu0.24.04.5
php8.3-xml	8.3.6-0ubuntu0.24.04.5
php8.3-zip	8.3.6-0ubuntu0.24.04.5
pinentry-curses	1.2.1-3ubuntu5
plymouth	24.004.60-1ubuntu7.1
polkitd	124-2ubuntu1.24.04.2
pollinate	4.33-3.1ubuntu1.1
poppler-data	0.4.12-1
postfix	3.8.6-1build2
postfix-mysql	3.8.6-1build2
postsrsd	1.10-2.1build1
powermgmt-base	1.37ubuntu0.1
procps	2:4.0.4-4ubuntu3.2
proftpd-core	1.3.8.b+dfsg-1ubuntu0.1
proftpd-doc	1.3.8.b+dfsg-1ubuntu0.1
proftpd-mod-crypto	1.3.8.b+dfsg-1ubuntu0.1
proftpd-mod-mysql	1.3.8.b+dfsg-1ubuntu0.1
psmisc	23.7-1build1
publicsuffix	20231001.0357-0.1
pv	1.8.5-2build1
python-apt-common	2.7.7ubuntu5.1
python3	3.12.3-0ubuntu2.1
python3-apport	2.28.1-0ubuntu3.8
python3-apt	2.7.7ubuntu5.1
python3-attr	23.2.0-2
python3-automat	22.10.0-2
python3-babel	2.10.3-3build1
python3-bcrypt	3.2.2-1build1
python3-blinker	1.7.0-1
python3-boto3	1.34.46+dfsg-1ubuntu1
python3-botocore	1.34.46+repack-1ubuntu1
python3-bpfcc	0.29.1+ds-1ubuntu7
python3-certifi	2023.11.17-1
python3-cffi-backend	1.16.0-2build1
python3-chardet	5.2.0+dfsg-1
python3-click	8.1.6-2
python3-colorama	0.4.6-4
python3-configobj	5.0.8-3
python3-constantly	23.10.4-1
python3-dateutil	2.8.2-3ubuntu1
python3-dbus	1.3.2-5build3
python3-debconf	1.5.86ubuntu1
python3-debian	0.1.49ubuntu2
python3-distro	1.9.0-1
python3-distro-info	1.7build1
python3-distupgrade	1:24.04.27
python3-gdbm	3.12.3-0ubuntu1
python3-gi	3.48.2-1
python3-hamcrest	2.1.0-1
python3-httplib2	0.20.4-3
python3-hyperlink	21.0.0-5
python3-idna	3.6-2ubuntu0.1
python3-incremental	22.10.0-1
python3-jinja2	3.1.2-1ubuntu1.3
python3-jmespath	1.0.1-1
python3-json-pointer	2.0-0ubuntu1
python3-jsonpatch	1.32-3
python3-jsonschema	4.10.3-2ubuntu1
python3-jwt	2.7.0-1
python3-launchpadlib	1.11.0-6
python3-lazr.uri	1.0.6-3
python3-magic	2:0.4.27-3
python3-markdown-it	3.0.0-2
python3-markupsafe	2.1.5-1build2
python3-mdurl	0.1.2-1
python3-minimal	3.12.3-0ubuntu2.1
python3-netaddr	0.8.0-2ubuntu1
python3-netifaces	0.11.0-2build3
python3-netplan	1.1.2-8ubuntu1~24.04.1
python3-newt	0.52.24-2ubuntu2
python3-oauthlib	3.2.2-1
python3-openssl	23.2.0-1
python3-packaging	24.0-1
python3-pexpect	4.9-2
python3-ptyprocess	0.7.0-5
python3-pyasn1	0.4.8-4
python3-pyasyncore	1.0.2-2
python3-pygments	2.17.2+dfsg-1
python3-pyinotify	0.9.6-2ubuntu1
python3-pyparsing	3.1.1-1
python3-pyrsistent	0.20.0-1build2
python3-requests	2.31.0+dfsg-1ubuntu1.1
python3-rich	13.7.1-1
python3-s3transfer	0.10.1-1ubuntu2
python3-serial	3.5-2
python3-setuptools	68.1.2-2ubuntu1.2
python3-six	1.16.0-4
python3-systemd	235-1build4
python3-twisted	24.3.0-1ubuntu0.1
python3-tz	2024.1-2
python3-urllib3	2.0.7-1ubuntu0.2
python3-wadllib	1.3.6-5
python3-xkit	0.5.0ubuntu6
python3-yaml	6.0.1-2build2
python3.12	3.12.3-1ubuntu0.9
python3.12-minimal	3.12.3-1ubuntu0.9
quota	4.06-1build6
quotatool	1:1.6.3-1
readline-common	8.2-4build1
redis-server	5:7.0.15-1ubuntu0.24.04.2
redis-tools	5:7.0.15-1ubuntu0.24.04.2
rpcsvc-proto	1.4.2-0ubuntu7
rrdtool	1.7.2-4.1ubuntu3
rspamd	3.14.1-1~46a758617~noble
rsync	3.2.7-1ubuntu1.2
rsyslog	8.2312.0-3ubuntu9.1
run-one	1.17-0ubuntu2
sbsigntool	0.9.4-3.1ubuntu7
screen	4.9.1-1build1
secureboot-db	1.9build1
sed	4.9-2build1
sensible-utils	0.0.22
sg3-utils	1.46-3ubuntu4
sg3-utils-udev	1.46-3ubuntu4
sgml-base	1.31
shared-mime-info	2.4-4
snapd	2.72+ubuntu24.04
socat	1.8.0.0-4build3
sosreport	4.9.2-0ubuntu0~24.04.1
squashfs-tools	1:4.6.1-1build1
sse3-support	21build1
ssh-import-id	5.11-0ubuntu2.24.04.1
ssl-cert	1.1.2ubuntu1
strace	6.8-0ubuntu2
sudo	1.9.15p5-3ubuntu5.24.04.1
sysstat	12.6.1-2
systemd	255.4-1ubuntu8.11
systemd-dev	255.4-1ubuntu8.11
systemd-hwe-hwdb	255.1.6
systemd-resolved	255.4-1ubuntu8.11
systemd-sysv	255.4-1ubuntu8.11
systemd-timesyncd	255.4-1ubuntu8.11
sysvinit-utils	3.08-6ubuntu3
tar	1.35+dfsg-3build1
tcl	8.6.14build1
tcl8.6	8.6.14+dfsg-1build1
tcpdump	4.99.4-3ubuntu4.24.04.1
telnet	0.17+2.5-3ubuntu4
thermald	2.5.6-2ubuntu0.24.04.2
time	1.9-0.2build1
tmux	3.4-1ubuntu0.1
tnftp	20230507-2build3
tpm-udev	0.6ubuntu1
trace-cmd	3.2-1ubuntu2
tzdata	2025b-0ubuntu0.24.04.1
ubuntu-keyring	2023.11.28.1
ubuntu-minimal	1.539.2
ubuntu-pro-client	37.1ubuntu0~24.04
ubuntu-server	1.539.2
ubuntu-standard	1.539.2
ucf	3.0043+nmu1
udev	255.4-1ubuntu8.11
udisks2	2.10.1-6ubuntu1.3
ufw	0.36.2-6
unattended-upgrades	2.9.1+nmu4ubuntu1
unminimize	0.2.1
unzip	6.0-28ubuntu4.1
update-manager-core	1:24.04.12
upower	1.90.3-1
usb-modeswitch	2.6.1-3ubuntu3
usb-modeswitch-data	20191128-6
usb.ids	2024.03.18-1
usbmuxd	1.1.1-5~exp3ubuntu2
usbutils	1:017-3build1
util-linux	2.39.3-9ubuntu6.3
uuid-runtime	2.39.3-9ubuntu6.3
vim	2:9.1.0016-1ubuntu7.9
vim-common	2:9.1.0016-1ubuntu7.9
vim-runtime	2:9.1.0016-1ubuntu7.9
vim-tiny	2:9.1.0016-1ubuntu7.9
wget	1.21.4-1ubuntu4.1
whiptail	0.52.24-2ubuntu2
whois	5.5.22
wireless-regdb	2025.07.10-0ubuntu1~24.04.1
x11-common	1:7.7+23ubuntu3
xauth	1:1.1.2-1build1
xdg-user-dirs	0.18-1build1
xfonts-encodings	1:1.0.5-0ubuntu2
xfonts-utils	1:7.7+6build3
xfsprogs	6.6.0-1ubuntu2.1
xkb-data	2.41-2ubuntu1.1
xml-core	0.19
xxd	2:9.1.0016-1ubuntu7.9
xz-utils	5.6.1+really5.4.5-1ubuntu0.2
zerofree	1.1.1-1build5
zip	3.0-13ubuntu0.2
zlib1g	1:1.3.dfsg-3.1ubuntu2.1
zstd	1.5.5+dfsg2-2build1.1
